iter	RMSE
0	0.5481021437
1	0.5242982002
2	0.5017549898
3	0.4801995075
4	0.4601472156
5	0.441136182
6	0.4228872622
7	0.4056840725
8	0.3896120933
9	0.3741555426
10	0.3595441959
11	0.3458450423
12	0.3327348145
13	0.3204439662
14	0.308899424
15	0.2981478932
16	0.2879562021
17	0.2783575743
18	0.2694661084
19	0.2610700085
20	0.2531448737
21	0.2458785039
22	0.2389623609
23	0.2325251064
24	0.226463743
25	0.2207880299
26	0.2156034287
27	0.2107071265
28	0.2061534221
29	0.2020011389
30	0.1980762914
31	0.194394897
32	0.1910173359
33	0.1879042382
34	0.184923971
35	0.1821483465
36	0.1796058612
37	0.1771841263
38	0.1750000866
39	0.1729527992
40	0.1710401632
41	0.1692171641
42	0.1675913929
43	0.1660797214
44	0.1646578703
45	0.1633594705
46	0.1621840278
47	0.1610651947
48	0.1600301369
49	0.1590861318
50	0.1581992045
51	0.1573326526
52	0.1565704099
53	0.155832643
54	0.1551145053
55	0.1544548338
56	0.1538961288
57	0.1533510374
58	0.1528075882
59	0.1523375375
60	0.1518785838
61	0.1514551681
62	0.1510692288
63	0.1506727646
64	0.1503088861
65	0.1499787778
66	0.1496631137
67	0.1493828852
68	0.1491069919
69	0.1488549857
70	0.148602922
71	0.1483767848
72	0.1481646599
73	0.1479636
74	0.1477662143
75	0.1475860994
76	0.1474031598
77	0.1472295067
78	0.1470749797
79	0.1469089656
80	0.1467559031
81	0.1466148843
82	0.1464815457
83	0.1463504889
84	0.1462111692
85	0.1460902318
86	0.1459717576
87	0.145862481
88	0.1457486761
89	0.145628805
90	0.1455346174
91	0.1454211103
92	0.145321866
93	0.1452125897
94	0.1451333257
95	0.1450348769
96	0.144933411
97	0.1448529064
98	0.1447634765
99	0.1446721847
100	0.1445989376
101	0.1445139253
102	0.1444420683
103	0.1443859763
104	0.1443037952
105	0.144237486
106	0.1441804244
107	0.1441297319
108	0.1440664489
109	0.1440023943
110	0.1439296207
111	0.1438518023
112	0.1437955094
113	0.143726717
114	0.1436543517
115	0.1436086717
116	0.143545667
117	0.1435004605
118	0.1434382427
119	0.1433878583
120	0.1433523794
121	0.1432833262
122	0.1432319944
123	0.1431954973
124	0.1431632789
125	0.1431299199
126	0.1430941666
127	0.1430326948
128	0.1429767121
129	0.1429194652
130	0.1428729937
131	0.1428223379
132	0.1427768677
133	0.1427222739
134	0.1426741178
135	0.1426283216
136	0.1425995305
137	0.1425540105
138	0.142524037
139	0.1424805468
140	0.1424537126
141	0.1424221218
142	0.1423634366
143	0.1423257551
144	0.1422812706
145	0.142230519
146	0.1421826627
147	0.1421494521
148	0.1421082667
149	0.142067068
150	0.1420464778
151	0.1420212321
152	0.1419736034
153	0.1419405436
154	0.1419051037
155	0.1418685831
156	0.1418324297
157	0.1418114657
158	0.1417877474
159	0.1417548449
160	0.1417270801
161	0.1416972851
162	0.1416618722
163	0.1416246825
164	0.1416072038
165	0.1415739756
166	0.1415419018
167	0.1415067799
168	0.1414723412
169	0.1414433113
170	0.1414261055
171	0.141403458
172	0.1413783594
173	0.1413479395
174	0.1413086534
175	0.1412718337
176	0.1412320336
177	0.1412141156
178	0.1411816483
179	0.1411568166
180	0.1411403321
181	0.1411225216
182	0.1410986349
183	0.1410853131
184	0.1410596143
185	0.1410311461
186	0.1409945268
187	0.1409685403
188	0.140939129
189	0.140916534
190	0.1408928684
191	0.1408608363
192	0.1408350682
193	0.1408079489
194	0.1407888873
195	0.1407616154
196	0.1407414507
197	0.1407179229
198	0.1406899438
199	0.1406686811
200	0.1406497045
201	0.1406308064
202	0.1406207574
203	0.1405955914
204	0.1405766921
205	0.1405589758
206	0.1405325928
207	0.1405175421
208	0.1404937144
209	0.140475347
210	0.1404529549
211	0.1404347559
212	0.1404086244
213	0.1403881866
214	0.1403705776
215	0.1403466407
216	0.1403306771
217	0.1403072992
218	0.1402952573
219	0.1402679404
220	0.1402529603
221	0.1402305147
222	0.1402207956
223	0.1401964729
224	0.1401827768
225	0.1401563284
226	0.1401443725
227	0.1401271794
228	0.1401042352
229	0.1400904926
230	0.1400803678
231	0.1400671482
232	0.1400542638
233	0.1400311435
234	0.1400171568
235	0.1400040722
236	0.139984343
237	0.1399643604
238	0.1399522504
239	0.1399339686
240	0.1399164356
241	0.1398961397
242	0.139880638
243	0.1398655496
244	0.1398495712
245	0.139840065
246	0.139827306
247	0.1398148491
248	0.1397898639
249	0.1397803045
250	0.1397611327
251	0.1397492844
252	0.1397327355
253	0.1397224412
254	0.1397135361
255	0.1397000025
256	0.1396797725
257	0.1396682648
258	0.139646075
259	0.1396323428
260	0.1396182829
261	0.1396091108
262	0.1395984346
263	0.1395817233
264	0.139564961
265	0.1395491803
266	0.1395395122
267	0.1395173474
268	0.1394978376
269	0.1394859832
270	0.1394738823
271	0.1394640666
272	0.139454386
273	0.1394455476
274	0.1394326509
275	0.1394189543
276	0.139409091
277	0.1394010521
278	0.1393909712
279	0.1393719479
280	0.1393522679
281	0.1393420507
282	0.1393311125
283	0.1393176712
284	0.1393030197
285	0.1392945425
286	0.1392735514
287	0.1392539567
288	0.1392443491
289	0.1392296366
290	0.1392207924
291	0.139209668
292	0.1391999183
293	0.1391910598
294	0.1391808191
295	0.1391743081
296	0.1391556326
297	0.1391440791
298	0.1391319831
299	0.1391168965
300	0.1390995712
301	0.1390880964
302	0.1390746923
303	0.139064376
304	0.1390539117
305	0.1390438255
306	0.1390353708
307	0.1390238065
308	0.1390078871
309	0.1389968031
310	0.13898806
311	0.1389793363
312	0.1389698201
313	0.1389599631
314	0.1389420884
315	0.1389300545
316	0.1389165461
317	0.1389030022
318	0.138891241
319	0.1388800305
320	0.1388729193
321	0.1388639165
322	0.1388513418
323	0.1388457461
324	0.1388375735
325	0.1388210914
326	0.1388117804
327	0.1388026812
328	0.138791125
329	0.1387791506
330	0.1387684612
331	0.1387609637
332	0.1387442784
333	0.1387326275
334	0.1387276035
335	0.138716411
336	0.1387081675
337	0.1386997084
338	0.1386922401
339	0.1386820172
340	0.1386748268
341	0.1386679386
342	0.138652343
343	0.1386461592
344	0.138632196
345	0.1386262615
346	0.1386149515
347	0.138605952
348	0.1385994139
349	0.1385851347
350	0.138577864
351	0.1385667207
352	0.138554434
353	0.1385440971
354	0.1385346016
355	0.1385251454
356	0.1385195141
357	0.1385115981
358	0.1384987033
359	0.13849232
360	0.1384815955
361	0.1384714366
362	0.1384641264
363	0.1384544047
364	0.1384483056
365	0.1384369126
366	0.138430303
367	0.1384235129
368	0.1384152765
369	0.1384056427
370	0.138398589
371	0.1383857003
372	0.1383774932
373	0.1383715283
374	0.1383615993
375	0.1383545167
376	0.1383501562
377	0.1383421112
378	0.1383293254
379	0.1383233324
380	0.1383191431
381	0.138315797
382	0.1383084651
383	0.1383016621
384	0.1382910905
385	0.1382869858
386	0.1382788969
387	0.1382676689
388	0.1382573318
389	0.1382517898
390	0.1382431276
391	0.1382359221
392	0.1382280041
393	0.1382215833
394	0.1382108355
395	0.1382032271
396	0.1381966434
397	0.1381912976
398	0.1381864655
399	0.1381761674
400	0.1381708432
401	0.1381656703
402	0.1381554319
403	0.1381449264
404	0.1381388723
405	0.1381289646
406	0.1381217216
407	0.1381136799
408	0.1381064389
409	0.1380990846
410	0.1380915362
411	0.1380870706
412	0.1380810358
413	0.1380765147
414	0.1380685281
415	0.1380609403
416	0.1380553826
417	0.1380496154
418	0.1380456867
419	0.1380371563
420	0.1380324161
421	0.1380277854
422	0.138023095
423	0.1380181891
424	0.138008759
425	0.1380033502
426	0.1379958952
427	0.1379879482
428	0.137977366
429	0.1379680285
430	0.1379583948
431	0.1379531251
432	0.137945543
433	0.1379380907
434	0.137931186
435	0.1379259131
436	0.137918817
437	0.1379139609
438	0.1379063722
439	0.1378996809
440	0.1378958693
441	0.1378895408
442	0.1378854398
443	0.137878002
444	0.1378739327
445	0.1378659632
446	0.1378577381
447	0.1378507178
448	0.137845946
449	0.1378419423
450	0.1378340883
451	0.1378279319
452	0.1378212675
453	0.1378146419
454	0.1378091468
455	0.1378003656
456	0.1377964451
457	0.1377878736
458	0.1377826932
459	0.1377777887
460	0.1377715494
461	0.1377664348
462	0.1377579419
463	0.1377532735
464	0.1377481105
465	0.1377449214
466	0.1377364803
467	0.1377318055
468	0.1377273705
469	0.1377225128
470	0.137714977
471	0.1377083595
472	0.1377005603
473	0.1376925298
474	0.1376871123
475	0.1376788497
476	0.1376743412
477	0.1376709294
478	0.1376668246
479	0.1376577485
480	0.1376541435
481	0.1376458811
482	0.1376384199
483	0.1376299578
484	0.1376248559
485	0.1376207096
486	0.1376131537
487	0.1376078533
488	0.137603044
489	0.1375981279
490	0.1375900096
491	0.1375852335
492	0.1375802983
493	0.137573115
494	0.1375682031
495	0.1375618519
496	0.1375544359
497	0.1375505005
498	0.1375455166
499	0.1375412812
500	0.13753226
501	0.1375283536
502	0.1375219545
503	0.137517305
504	0.1375106144
505	0.1375069143
506	0.1375019696
507	0.137498336
508	0.1374925517
509	0.1374861117
510	0.1374833519
511	0.137479217
512	0.1374757403
513	0.1374717275
514	0.1374638889
515	0.137458033
516	0.1374499035
517	0.137446443
518	0.1374431596
519	0.1374404412
520	0.1374346505
521	0.1374293694
522	0.1374238077
523	0.1374188478
524	0.1374128151
525	0.1374076433
526	0.1374017448
527	0.1373990671
528	0.1373925044
529	0.1373862523
530	0.1373794929
531	0.1373729583
532	0.1373682997
533	0.1373646246
534	0.1373579497
535	0.1373518431
536	0.1373453083
537	0.1373396341
538	0.1373362596
539	0.137331806
540	0.1373271071
541	0.137321079
542	0.1373169944
543	0.1373128794
544	0.1373075556
545	0.137303351
546	0.1373010175
547	0.1372942517
548	0.1372891998
549	0.1372845086
550	0.1372798595
551	0.1372739815
552	0.1372692658
553	0.1372651817
554	0.1372603509
555	0.1372548759
556	0.1372513808
557	0.1372482331
558	0.1372434199
559	0.1372384398
560	0.137233347
561	0.1372304643
562	0.137227626
563	0.1372219761
564	0.1372183486
565	0.1372144731
566	0.1372073843
567	0.1372035545
568	0.1371999326
569	0.1371969452
570	0.1371910589
571	0.1371868681
572	0.137178453
573	0.1371720237
574	0.1371655978
575	0.1371620371
576	0.1371554854
577	0.1371499536
578	0.137147143
579	0.1371424331
580	0.1371389475
581	0.1371357021
582	0.1371311168
583	0.1371289067
584	0.1371261835
585	0.1371204094
586	0.1371170044
587	0.1371099873
588	0.1371037402
589	0.1370998621
590	0.1370955061
591	0.1370892875
592	0.1370825732
593	0.1370782723
594	0.1370744119
595	0.1370709721
596	0.1370689712
597	0.13706556
598	0.1370605636
599	0.1370538727
600	0.1370508583
601	0.137047834
602	0.1370432079
603	0.1370386337
604	0.1370315445
605	0.1370277817
606	0.1370248534
607	0.1370211561
608	0.1370155674
609	0.1370094902
610	0.1370077356
611	0.1370032196
612	0.1369975401
613	0.1369918221
614	0.1369855544
615	0.1369792557
616	0.1369736977
617	0.1369679061
618	0.1369640914
619	0.1369603001
620	0.1369564554
621	0.1369518321
622	0.1369458545
623	0.1369410027
624	0.136937723
625	0.1369335142
626	0.1369293161
627	0.1369263696
628	0.1369219561
629	0.1369198593
630	0.1369160292
631	0.136913426
632	0.136908896
633	0.1369053379
634	0.1369026829
635	0.1368963193
636	0.1368915776
637	0.1368877274
638	0.136884861
639	0.1368794881
640	0.1368768481
641	0.136874561
642	0.1368716747
643	0.1368663361
644	0.1368619656
645	0.1368596939
646	0.1368576512
647	0.1368531288
648	0.1368488187
649	0.1368452342
650	0.1368415984
651	0.1368380654
652	0.1368342398
653	0.1368287848
654	0.1368258933
655	0.1368205813
656	0.1368190566
657	0.1368130199
658	0.1368093463
659	0.1368060846
660	0.1368041491
661	0.1367972526
662	0.1367933468
663	0.1367870048
664	0.1367836797
665	0.1367811454
666	0.1367761898
667	0.1367718045
668	0.136764926
669	0.1367628982
670	0.1367600846
671	0.1367568594
672	0.1367536553
673	0.136749049
674	0.1367447732
675	0.1367398171
676	0.1367332051
677	0.1367270743
678	0.1367230947
679	0.1367198878
680	0.1367149426
681	0.1367107757
682	0.1367057882
683	0.1367032828
684	0.1367014694
685	0.1366977474
686	0.1366959759
687	0.1366907451
688	0.1366898953
689	0.1366852047
690	0.1366800308
691	0.1366737133
692	0.1366692863
693	0.1366642138
694	0.1366583628
695	0.1366550638
696	0.1366505617
697	0.1366497418
698	0.1366463714
699	0.1366441834
700	0.1366403414
701	0.1366368476
702	0.1366329304
703	0.1366292425
704	0.1366263833
705	0.1366220165
706	0.1366187286
707	0.1366127161
708	0.1366103775
709	0.1366060212
710	0.1366007076
711	0.1365983418
712	0.1365924358
713	0.1365851917
714	0.1365804472
715	0.1365739264
716	0.13657041
717	0.1365680487
718	0.1365653203
719	0.1365629172
720	0.1365603098
721	0.1365550552
722	0.1365534259
723	0.1365491161
724	0.1365470148
725	0.1365415506
726	0.1365382773
727	0.1365343558
728	0.1365323093
729	0.1365287062
730	0.1365241674
731	0.1365201134
732	0.1365160399
733	0.1365131515
734	0.1365099146
735	0.1365046344
736	0.1365030581
737	0.136499447
738	0.1364957601
739	0.1364905805
740	0.1364872435
741	0.1364847558
742	0.1364815004
743	0.1364796808
744	0.1364739899
745	0.136472416
746	0.1364671243
747	0.1364623179
748	0.1364605764
749	0.1364565809
750	0.1364544601
751	0.1364520495
752	0.1364469218
753	0.1364423627
754	0.1364381148
755	0.1364364262
756	0.1364328162
757	0.1364271353
758	0.1364225715
759	0.136419845
760	0.1364165539
761	0.1364151471
762	0.136411276
763	0.1364095469
764	0.1364044993
765	0.1364005161
766	0.136395728
767	0.13639364
768	0.1363902193
769	0.1363838024
770	0.1363793249
771	0.1363762234
772	0.1363728514
773	0.1363691735
774	0.1363651213
775	0.136360926
776	0.1363555227
777	0.1363521208
778	0.136349124
779	0.1363456919
780	0.1363432417
781	0.136337589
782	0.1363362463
783	0.1363329732
784	0.1363266335
785	0.1363245721
786	0.1363205521
787	0.1363180164
788	0.1363143047
789	0.1363108304
790	0.1363074436
791	0.1363031248
792	0.1363016414
793	0.136299629
794	0.1362952121
795	0.1362927558
796	0.1362907565
797	0.1362884015
798	0.1362838771
799	0.136280975
800	0.1362791194
801	0.1362737307
802	0.1362688478
803	0.136266298
804	0.1362622468
805	0.1362584363
806	0.1362533606
807	0.1362471494
808	0.1362453688
809	0.1362387912
810	0.1362358189
811	0.1362344712
812	0.1362286241
813	0.1362269336
814	0.1362245049
815	0.1362201291
816	0.1362156507
817	0.1362112385
818	0.1362084095
819	0.1362063207
820	0.1362009883
821	0.1361978695
822	0.1361949001
823	0.1361913403
824	0.1361883827
825	0.1361840542
826	0.1361798728
827	0.1361780746
828	0.1361765133
829	0.1361744185
830	0.136171497
831	0.1361677412
832	0.1361619941
833	0.1361563223
834	0.1361548139
835	0.1361537144
836	0.1361517144
837	0.1361466409
838	0.1361432385
839	0.1361385403
840	0.1361309094
841	0.1361289605
842	0.1361237559
843	0.1361202419
844	0.1361158065
845	0.1361103887
846	0.1361076374
847	0.1361041638
848	0.1360999006
849	0.136092781
850	0.1360885024
851	0.1360856349
852	0.136083431
853	0.1360780082
854	0.136072905
855	0.1360702236
856	0.1360689324
857	0.1360669525
858	0.1360636571
859	0.1360620475
860	0.1360588448
861	0.1360550223
862	0.1360528404
863	0.1360486321
864	0.1360442595
865	0.1360421109
866	0.1360379247
867	0.1360365455
868	0.1360346925
869	0.1360314886
870	0.1360278729
871	0.1360252608
872	0.136020223
873	0.1360165604
874	0.1360143272
875	0.1360130307
876	0.1360058359
877	0.1360020699
878	0.1359968107
879	0.1359954352
880	0.1359920223
881	0.1359892107
882	0.1359876653
883	0.1359846369
884	0.1359807984
885	0.1359771139
886	0.1359700066
887	0.1359666046
